"Story","Title","Result","Date","Stability","Duration (s)"
"Delete users","Delete User with invalid ID","FAILURE","2023-03-18T01:01:05.2+07:00[Asia/Jakarta]","0.0","0.59"
"Delete users","Delete User with valid ID","SUCCESS","2023-03-18T11:38:39.972+07:00[Asia/Jakarta]","0.0","6.2"
"Delete users","Delete User with unregistered ID","SUCCESS","2023-03-18T11:38:46.218+07:00[Asia/Jakarta]","0.0","0.74"
"Delete users","Delete User with invalid format ID","FAILURE","2023-03-18T11:38:46.976+07:00[Asia/Jakarta]","0.0","0.62"
"Delete users","Delete User with name as a path parameter","FAILURE","2023-03-18T11:38:47.613+07:00[Asia/Jakarta]","0.0","0.55"
"Delete users","Delete User with email as a path parameter","FAILURE","2023-03-18T11:38:48.188+07:00[Asia/Jakarta]","0.0","1.95"
"Delete users","Delete User without ID","SUCCESS","2023-03-18T11:38:50.144+07:00[Asia/Jakarta]","0.0","0.8"
"Delete users","Delete User without ID and without Token","FAILURE","2023-03-18T11:38:50.958+07:00[Asia/Jakarta]","0.0","0.49"
"Get users","Get user without parameter","SUCCESS","2023-03-18T11:38:51.463+07:00[Asia/Jakarta]","0.0","0.87"
"Get users","Get user with parameter gender","SUCCESS","2023-03-18T11:38:52.376+07:00[Asia/Jakarta]","0.0","0.7"
"Get users","Get user with parameter name","SUCCESS","2023-03-18T11:38:53.088+07:00[Asia/Jakarta]","0.0","0.47"
"Get users","Get user with parameter status","SUCCESS","2023-03-18T11:38:53.568+07:00[Asia/Jakarta]","0.0","2.48"
"Get users","Get user with parameter email","SUCCESS","2023-03-18T11:38:56.065+07:00[Asia/Jakarta]","0.0","0.53"
"Get users","Get user with all parameter","SUCCESS","2023-03-18T11:38:56.605+07:00[Asia/Jakarta]","0.0","0.49"
"Get users","Get user with invalid parameter","FAILURE","2023-03-18T11:38:57.1+07:00[Asia/Jakarta]","0.0","0.4"
"Patch users","Update user with valid ID and valid request body","SUCCESS","2023-03-18T11:38:57.508+07:00[Asia/Jakarta]","0.0","1.07"
"Patch users","Update user with valid ID and invalid request body","FAILURE","2023-03-18T11:38:58.606+07:00[Asia/Jakarta]","0.0","1.59"
"Patch users","Update user with unregistered ID and valid request body","SUCCESS","2023-03-18T11:39:00.201+07:00[Asia/Jakarta]","0.0","0.36"
"Patch users","Update user with invalid ID and valid request body","FAILURE","2023-03-18T11:39:00.566+07:00[Asia/Jakarta]","0.0","0.54"
"Patch users","Update user with invalid ID and invalid request body","FAILURE","2023-03-18T11:39:01.126+07:00[Asia/Jakarta]","0.0","0.44"
"Patch users","Update user without token","SUCCESS","2023-03-18T11:39:01.584+07:00[Asia/Jakarta]","0.0","3.98"
"Patch users","Update user without ID","SUCCESS","2023-03-18T11:39:05.569+07:00[Asia/Jakarta]","0.0","0.59"
"Post users","Create user with valid request body","SUCCESS","2023-03-18T11:39:06.172+07:00[Asia/Jakarta]","0.0","0.78"
"Post users","Create user with invalid request body","FAILURE","2023-03-18T11:39:06.96+07:00[Asia/Jakarta]","0.0","0.47"
"Post users","Create user without request body","FAILURE","2023-03-18T11:39:07.451+07:00[Asia/Jakarta]","0.0","0.44"
"Post users","Create user without name on request body","FAILURE","2023-03-18T11:39:07.899+07:00[Asia/Jakarta]","0.0","0.4"
"Post users","Create user without token","SUCCESS","2023-03-18T11:39:08.311+07:00[Asia/Jakarta]","0.0","0.49"
"Post users","Create user without token and without request body","SUCCESS","2023-03-18T11:39:08.801+07:00[Asia/Jakarta]","0.0","0.36"
