"Story","Title","Result","Date","Stability","Duration (s)"
"Delete users","Delete User with valid ID","SUCCESS","2023-03-18T01:00:58.273+07:00[Asia/Jakarta]","0.0","6.88"
"Delete users","Delete User with invalid ID","FAILURE","2023-03-18T01:01:05.2+07:00[Asia/Jakarta]","0.0","0.59"
"Delete users","Delete User without ID","SUCCESS","2023-03-18T01:01:05.814+07:00[Asia/Jakarta]","0.0","0.8"
"Delete users","Delete User without ID and without Token","ERROR","2023-03-18T01:01:06.621+07:00[Asia/Jakarta]","0.0","0.13"
"Get users","Get user without parameter","SUCCESS","2023-03-18T01:01:06.771+07:00[Asia/Jakarta]","0.0","1.47"
"Get users","Get user with parameter gender","SUCCESS","2023-03-18T01:01:08.344+07:00[Asia/Jakarta]","0.0","0.76"
"Get users","Get user with parameter name","FAILURE","2023-03-18T01:01:09.116+07:00[Asia/Jakarta]","0.0","0.58"
"Get users","Get user with parameter status","SUCCESS","2023-03-18T01:01:09.704+07:00[Asia/Jakarta]","0.0","1.22"
"Get users","Get user with parameter email","FAILURE","2023-03-18T01:01:10.937+07:00[Asia/Jakarta]","0.0","0.44"
"Get users","Get user with all parameter","SUCCESS","2023-03-18T01:01:11.393+07:00[Asia/Jakarta]","0.0","0.37"
"Get users","Get user with invalid parameter","FAILURE","2023-03-18T01:01:11.774+07:00[Asia/Jakarta]","0.0","0.44"
"Patch users","Update user with valid ID and valid request body","PENDING","2023-03-18T01:01:12.264+07:00[Asia/Jakarta]","0.0","0.01"
"Patch users","Update user with valid ID and invalid request body","FAILURE","2023-03-18T01:01:12.293+07:00[Asia/Jakarta]","0.0","0.81"
"Patch users","Update user with invalid ID and valid request body","ERROR","2023-03-18T01:01:13.109+07:00[Asia/Jakarta]","0.0","0.08"
"Patch users","Update user with invalid ID and invalid request body","ERROR","2023-03-18T01:01:13.197+07:00[Asia/Jakarta]","0.0","0.06"
"Patch users","Update user without token","FAILURE","2023-03-18T01:01:13.272+07:00[Asia/Jakarta]","0.0","0.82"
"Patch users","Update user without ID","ERROR","2023-03-18T01:01:14.11+07:00[Asia/Jakarta]","0.0","0.08"
"Post users","Create user with valid request body","FAILURE","2023-03-18T01:01:14.211+07:00[Asia/Jakarta]","0.0","0.36"
"Post users","Create user with invalid request body","SUCCESS","2023-03-18T01:01:14.576+07:00[Asia/Jakarta]","0.0","0.34"
"Post users","Create user without request body","FAILURE","2023-03-18T01:01:14.918+07:00[Asia/Jakarta]","0.0","0.3"
"Post users","Create user without name on request body","ERROR","2023-03-18T01:01:15.229+07:00[Asia/Jakarta]","0.0","0.05"
"Post users","Create user without token","FAILURE","2023-03-18T01:01:15.289+07:00[Asia/Jakarta]","0.0","0.27"
"Post users","Create user without token and without request body","SUCCESS","2023-03-18T01:01:15.56+07:00[Asia/Jakarta]","0.0","0.27"
