"Story","Title","Result","Date","Stability","Duration (s)"
"Delete users","Delete User with invalid ID","FAILURE","2023-03-18T01:01:05.2+07:00[Asia/Jakarta]","0.0","0.59"
"Delete users","Delete User without ID and without Token","ERROR","2023-03-18T01:01:06.621+07:00[Asia/Jakarta]","0.0","0.13"
"Get users","Get user with parameter name","FAILURE","2023-03-18T01:01:09.116+07:00[Asia/Jakarta]","0.0","0.58"
"Get users","Get user with parameter email","FAILURE","2023-03-18T01:01:10.937+07:00[Asia/Jakarta]","0.0","0.44"
"Get users","Get user with invalid parameter","FAILURE","2023-03-18T01:01:11.774+07:00[Asia/Jakarta]","0.0","0.44"
"Patch users","Update user with valid ID and invalid request body","FAILURE","2023-03-18T01:01:12.293+07:00[Asia/Jakarta]","0.0","0.81"
"Patch users","Update user with invalid ID and valid request body","ERROR","2023-03-18T01:01:13.109+07:00[Asia/Jakarta]","0.0","0.08"
"Patch users","Update user with invalid ID and invalid request body","ERROR","2023-03-18T01:01:13.197+07:00[Asia/Jakarta]","0.0","0.06"
"Patch users","Update user without token","FAILURE","2023-03-18T01:01:13.272+07:00[Asia/Jakarta]","0.0","0.82"
"Patch users","Update user without ID","ERROR","2023-03-18T01:01:14.11+07:00[Asia/Jakarta]","0.0","0.08"
"Post users","Create user with valid request body","FAILURE","2023-03-18T01:01:14.211+07:00[Asia/Jakarta]","0.0","0.36"
"Post users","Create user without request body","FAILURE","2023-03-18T01:01:14.918+07:00[Asia/Jakarta]","0.0","0.3"
"Post users","Create user without name on request body","ERROR","2023-03-18T01:01:15.229+07:00[Asia/Jakarta]","0.0","0.05"
"Post users","Create user without token","FAILURE","2023-03-18T01:01:15.289+07:00[Asia/Jakarta]","0.0","0.27"
