"Story","Title","Result","Date","Stability","Duration (s)"
"Delete users","Delete User with invalid ID","FAILURE","2023-03-18T01:01:05.2+07:00[Asia/Jakarta]","0.0","0.59"
"Delete users","Delete User with invalid format ID","FAILURE","2023-03-18T11:38:46.976+07:00[Asia/Jakarta]","0.0","0.62"
"Delete users","Delete User with name as a path parameter","FAILURE","2023-03-18T11:38:47.613+07:00[Asia/Jakarta]","0.0","0.55"
"Delete users","Delete User with email as a path parameter","FAILURE","2023-03-18T11:38:48.188+07:00[Asia/Jakarta]","0.0","1.95"
"Delete users","Delete User without ID and without Token","FAILURE","2023-03-18T11:38:50.958+07:00[Asia/Jakarta]","0.0","0.49"
"Get users","Get user with invalid parameter","FAILURE","2023-03-18T11:38:57.1+07:00[Asia/Jakarta]","0.0","0.4"
"Patch users","Update user with valid ID and invalid request body","FAILURE","2023-03-18T11:38:58.606+07:00[Asia/Jakarta]","0.0","1.59"
"Patch users","Update user with invalid ID and valid request body","FAILURE","2023-03-18T11:39:00.566+07:00[Asia/Jakarta]","0.0","0.54"
"Patch users","Update user with invalid ID and invalid request body","FAILURE","2023-03-18T11:39:01.126+07:00[Asia/Jakarta]","0.0","0.44"
"Post users","Create user with invalid request body","FAILURE","2023-03-18T11:39:06.96+07:00[Asia/Jakarta]","0.0","0.47"
"Post users","Create user without request body","FAILURE","2023-03-18T11:39:07.451+07:00[Asia/Jakarta]","0.0","0.44"
"Post users","Create user without name on request body","FAILURE","2023-03-18T11:39:07.899+07:00[Asia/Jakarta]","0.0","0.4"
